2.1886	42.2	ES	EXRIP	XXK	0.687
-2.8112	36.7743	ES	EXEJI	XXK	0.109
-2.7488	40.7899	ES	E0401	XXK	0.94
-18.01098	27.753793	ES	EXFRT	XXK	0.25
-7.41922	42.77668	ES	EXSA	XXK	0.491
-0.5412	38.6649	ES	AFON	XXK	1.0615999999999999
-2.276803	42.139466	ES	E1201	XXK	1.0
-2.48883	39.0416	ES	E0702	XXK	0.907
-1.9469	37.3988	ES	EXHUO	XXK	0.29
-3.2787	38.0385	ES	UMV8	XXK	0.845
-1.5478	42.9469	ES	IUSE	XXK	0.87
0.3335	40.9567	ES	ERTA	XXK	0.547
-5.4186	38.075298	ES	ECAB	XXK	0.52
-3.9025	39.658	ES	ES10	XXK	0.7582000000000001
-7.4831	37.5342	ES	EGRO	XXK	0.13
-3.8756	36.7557	ES	EXNER	XXK	0.063
-7.1494	43.327	ES	EPON	XXK	0.44
-0.9575	37.7433	ES	EXTPC	XXK	0.044
-1.439766	38.072327	ES	E1002	XXK	0.285
-5.243838	37.133085	ES	E1302	XXK	0.3
-3.8996	39.6781	ES	ES09	XXK	0.7531
-4.1501	37.1742	ES	EXLOJ	XXK	0.517
-3.9728	39.7004	ES	ES17	XXK	0.7666000000000001
-1.2669	42.7794	ES	IEPA	XXK	0.769
-4.428	36.762	ES	EMAL	XXK	0.131
-2.8839	40.8594	ES	E0402	XXK	0.85
-2.7727	38.9545	ES	E0701	XXK	0.937
-8.55154	42.88532	ES	STS	XXK	0.25
-3.9885	39.6518	ES	ES14	XXK	0.7797000000000001
-7.14249	42.39266	ES	ERUA	XXK	0.431
-3.4399	37.205	ES	EQTA	XXK	1.1
-3.3112	38.183	ES	E0202	XXK	0.654
-5.4131	38.0742	ES	EXCBR	XXK	0.426
-3.09015	40.52382	ES	YEBES	XXK	0.917
-3.034254	35.939897	ES	EALB	XXK	0.02
1.0786	41.3527	ES	EPOB	XXK	0.89
-1.2405	37.8422	ES	EMUR	XXK	0.574
-13.5295	29.1275	ES	EFAM	XXK	0.135
-3.7181	37.1894	ES	EXSTF	XXK	0.579
-3.688115	40.409078	ES	EXMAD	XXK	0.653
-17.9864	27.798	ES	EXROQ	XXK	0.104
-3.8938	36.9578	ES	EXAR	XXK	0.918
-1.5917	37.4138	ES	EXAGI	XXK	0.023
-1.6883	37.6553	ES	EXLO2	XXK	0.312
-1.3053	37.5953	ES	EXMAZ	XXK	0.052
-0.6584	38.095	ES	EXGUA	XXK	0.02
-5.3768	35.8978	ES	ECEU	XXK	0.278
-2.6093	36.7679	ES	UMV7	XXK	0.07
-1.5478	38.6447	ES	ETOB	XXK	0.855
0.1946	42.6646	ES	ECHI	XXK	1.45
-1.1331	42.5768	ES	YUND	XXK	0.872
-13.9359	28.6468	ES	CFUE	XXK	0.18
-3.9334	39.6663	ES	ES03	XXK	0.7326
-6.7371	41.9413	ES	ECAL	XXK	0.95
-5.4555	36.4345	ES	EJIM	XXK	0.2
-6.932	37.2732	ES	EXHUE	XXK	0.038
-3.92	39.6487	ES	ES11	XXK	0.7582000000000001
-0.553561	42.568571	ES	EXJAC	XXK	0.776
-1.45734	42.857133	ES	UMV14	XXK	0.52
-3.0832	38.1085	ES	E0203	XXK	0.794
-8.0892	42.8027	ES	EAGO	XXK	0.5
-17.916539	28.68091	ES	TBT	XXK	0.18
-2.7527	40.7894	ES	E0403	XXK	0.9
-0.4721	40.3639	ES	EMOS	XXK	1.694
-3.6052	37.1929	ES	EXGRA	XXK	0.702
-6.0816	40.0629	ES	EPLA	XXK	0.59
-3.5925	37.1772	ES	EXCAB	XXK	0.77
-3.756445	38.820243	ES	PSIM	XXK	0.7305
-3.963	39.6743	ES	ESBB1	XXK	0.755
-2.056649	40.818524	ES	RETOR	XXK	1.023
-0.4693	41.7219	ES	ESAC	XXK	0.815
-3.9475	39.6702	ES	ES01	XXK	0.7437999999999999
-2.6093	36.7679	ES	E0101	XXK	0.07
1.459861	42.357977	ES	EXSEU	XXK	0.6934
-0.9429	38.0944	ES	EXOHU	XXK	0.025
-3.2787	38.0385	ES	E0201	XXK	0.845
-3.5305	38.096	ES	E0204	XXK	0.329
-5.455502	36.434508	ES	EXJIF	XXK	0.204
-1.0202	42.5838	ES	YMUS	XXK	0.594
-0.9946	42.6396	ES	YSIG	XXK	0.776
-2.25894	42.15819	ES	E1202	XXK	0.76
-2.207	36.9715	ES	ENIJ	XXK	0.44
-1.127914	40.480592	ES	E0901	XXK	1.176
-3.6266	36.8678	ES	ELGU	XXK	0.78
-4.4484	36.7009	ES	EXMA2	XXK	0.011
-3.8211	37.0672	ES	EXVEN	XXK	0.856
-1.4979	37.7698	ES	EXTOT	XXK	0.249
