date,fname,year,month,day,net,station,flag,tt,date_time,weight,amplitude,phase
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7682.87,2022-02-01T02:08:02.870000,0.776586651802063,9432469.604492188,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7812.88,2022-02-01T02:10:12.880000,0.9450007081031799,417787728.515625,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,8153.01,2022-02-01T02:15:53.010000,0.8343435525894165,14728701.66015625,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,8433.5,2022-02-01T02:20:33.500000,0.44609498977661133,6311486.907958984,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,8617.8,2022-02-01T02:23:37.800000,0.8536150455474854,29063125.0,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,9034.07,2022-02-01T02:30:34.070000,0.4711991250514984,39637291.9921875,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,9169.79,2022-02-01T02:32:49.790000,0.5663030743598938,8726662.59765625,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,9300.02,2022-02-01T02:35:00.020000,0.4066425859928131,4482029.296875,P
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,5727.849999999999,2022-02-01T01:35:27.850000,0.5400912165641785,16550334.594726562,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7385.36,2022-02-01T02:03:05.360000,0.9086382985115051,17753580000.0,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7625.15,2022-02-01T02:07:05.150000,0.692478358745575,26916652.34375,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7652.58,2022-02-01T02:07:32.580000,0.8706544637680054,15783364.74609375,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7684.66,2022-02-01T02:08:04.660000,0.9001448154449463,9432469.604492188,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7814.96,2022-02-01T02:10:14.960000,0.9020508527755737,417787728.515625,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,8046.29,2022-02-01T02:14:06.290000,0.42685747146606445,5260445.159912109,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,8121.049999999999,2022-02-01T02:15:21.050000,0.322584867477417,6497761.657714844,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,8157.5599999999995,2022-02-01T02:15:57.560000,0.8570501208305359,12818772.033691406,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,8307.44,2022-02-01T02:18:27.440000,0.8593428730964661,9663122.009277344,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,8619.54,2022-02-01T02:23:39.540000,0.9410482048988342,29063125.0,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,9035.99,2022-02-01T02:30:35.990000,0.7198899388313293,39637291.9921875,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,9123.6,2022-02-01T02:32:03.600000,0.866334855556488,6513424.102783203,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,9173.94,2022-02-01T02:32:53.940000,0.8490554690361023,8726662.59765625,S
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,5723.139999999999,2022-02-01T01:35:23.140000,0.8742245435714722,10264781.433105469,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7383.219999999999,2022-02-01T02:03:03.220000,0.9357895851135254,16808359750.0,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7623.01,2022-02-01T02:07:03.010000,0.9606887698173523,24596253.90625,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7650.5,2022-02-01T02:07:30.500000,0.7644546031951904,12176015.502929688,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7682.5599999999995,2022-02-01T02:08:02.560000,0.9178563356399536,10396057.312011719,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,7812.88,2022-02-01T02:10:12.880000,0.9438931941986084,287349816.40625,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,8617.529999999999,2022-02-01T02:23:37.530000,0.890353798866272,20165332.763671875,P
20220201,CA.CEST.P,2022,2,1,CA,CEST,1,9033.97,2022-02-01T02:30:33.970000,0.7651494741439819,26130763.305664062,P
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,5727.95,2022-02-01T01:35:27.950000,0.4895186424255371,10264781.433105469,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7385.23,2022-02-01T02:03:05.230000,0.7815096974372864,16808359750.0,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7625.13,2022-02-01T02:07:05.130000,0.8850330710411072,24596253.90625,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7652.6,2022-02-01T02:07:32.600000,0.7239070534706116,12176015.502929688,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7684.66,2022-02-01T02:08:04.660000,0.7926298379898071,10396057.312011719,S
20220201,CA.CEST.S,2022,2,1,CA,CEST,1,7815.0,2022-02-01T02:10:15.000000,0.8882932662963867,287349816.40625,S
