grid point 229,  1 calculation(s)
grid point 228,  1 calculation(s)
grid point 227,  1 calculation(s)
grid point 226,  1 calculation(s)
grid point 232,  1 calculation(s)
grid point 231,  1 calculation(s)
grid point 230,  1 calculation(s)
grid point 233,  1 calculation(s)
grid point 225,  1 calculation(s)
grid point 238,  1 calculation(s)
grid point 237,  1 calculation(s)
grid point 236,  1 calculation(s)
grid point 235,  1 calculation(s)
grid point 241,  1 calculation(s)
grid point 240,  1 calculation(s)
grid point 239,  1 calculation(s)
grid point 242,  1 calculation(s)
grid point 234,  1 calculation(s)
grid point 247,  1 calculation(s)
grid point 246,  1 calculation(s)
grid point 245,  1 calculation(s)
grid point 244,  1 calculation(s)
grid point 250,  1 calculation(s)
grid point 249,  1 calculation(s)
grid point 248,  1 calculation(s)
grid point 251,  1 calculation(s)
grid point 243,  1 calculation(s)
grid point 254,  1 calculation(s)
grid point 255,  1 calculation(s)
grid point 256,  1 calculation(s)
grid point 253,  1 calculation(s)
grid point 259,  1 calculation(s)
grid point 258,  1 calculation(s)
grid point 257,  1 calculation(s)
grid point 260,  1 calculation(s)
grid point 252,  1 calculation(s)
grid point 265,  1 calculation(s)
grid point 264,  1 calculation(s)
grid point 263,  1 calculation(s)
grid point 262,  1 calculation(s)
grid point 268,  1 calculation(s)
grid point 267,  1 calculation(s)
grid point 266,  1 calculation(s)
grid point 269,  1 calculation(s)
grid point 261,  1 calculation(s)
grid point 274,  1 calculation(s)
grid point 272,  1 calculation(s)
grid point 273,  1 calculation(s)
grid point 271,  1 calculation(s)
grid point 277,  1 calculation(s)
grid point 276,  1 calculation(s)
grid point 275,  1 calculation(s)
grid point 278,  1 calculation(s)
grid point 270,  1 calculation(s)
grid point 283,  1 calculation(s)
grid point 281,  1 calculation(s)
grid point 282,  1 calculation(s)
grid point 280,  1 calculation(s)
grid point 286,  1 calculation(s)
grid point 285,  1 calculation(s)
grid point 284,  1 calculation(s)
grid point 287,  1 calculation(s)
grid point 279,  1 calculation(s)
grid point 292,  1 calculation(s)
grid point 291,  1 calculation(s)
grid point 290,  1 calculation(s)
grid point 289,  1 calculation(s)
grid point 295,  1 calculation(s)
grid point 294,  1 calculation(s)
grid point 293,  1 calculation(s)
grid point 296,  1 calculation(s)
grid point 288,  1 calculation(s)
grid point 301,  1 calculation(s)
grid point 300,  1 calculation(s)
grid point 299,  1 calculation(s)
grid point 298,  1 calculation(s)
grid point 304,  1 calculation(s)
grid point 302,  1 calculation(s)
grid point 303,  1 calculation(s)
grid point 305,  1 calculation(s)
grid point 297,  1 calculation(s)
grid point 310,  1 calculation(s)
grid point 309,  1 calculation(s)
grid point 308,  1 calculation(s)
grid point 307,  1 calculation(s)
grid point 313,  1 calculation(s)
grid point 312,  1 calculation(s)
grid point 311,  1 calculation(s)
grid point 314,  1 calculation(s)
grid point 306,  1 calculation(s)
grid point 318,  1 calculation(s)
grid point 319,  1 calculation(s)
grid point 317,  1 calculation(s)
grid point 316,  1 calculation(s)
grid point 322,  1 calculation(s)
grid point 321,  1 calculation(s)
grid point 320,  1 calculation(s)
grid point 323,  1 calculation(s)
grid point 315,  1 calculation(s)
grid point 328,  1 calculation(s)
grid point 327,  1 calculation(s)
grid point 326,  1 calculation(s)
grid point 325,  1 calculation(s)
grid point 331,  1 calculation(s)
grid point 329,  1 calculation(s)
grid point 330,  1 calculation(s)
grid point 332,  1 calculation(s)
grid point 324,  1 calculation(s)
grid point 337,  1 calculation(s)
grid point 336,  1 calculation(s)
grid point 335,  1 calculation(s)
grid point 334,  1 calculation(s)
grid point 340,  1 calculation(s)
grid point 339,  1 calculation(s)
grid point 338,  1 calculation(s)
grid point 341,  1 calculation(s)
grid point 333,  1 calculation(s)
grid point 346,  1 calculation(s)
grid point 345,  1 calculation(s)
grid point 344,  1 calculation(s)
grid point 343,  1 calculation(s)
grid point 349,  1 calculation(s)
grid point 347,  1 calculation(s)
grid point 348,  1 calculation(s)
grid point 350,  1 calculation(s)
grid point 342,  1 calculation(s)
grid point 355,  1 calculation(s)
grid point 354,  1 calculation(s)
grid point 353,  1 calculation(s)
grid point 352,  1 calculation(s)
grid point 358,  1 calculation(s)
grid point 357,  1 calculation(s)
grid point 356,  1 calculation(s)
grid point 359,  1 calculation(s)
grid point 351,  1 calculation(s)
grid point 364,  1 calculation(s)
grid point 362,  1 calculation(s)
grid point 363,  1 calculation(s)
grid point 361,  1 calculation(s)
grid point 367,  1 calculation(s)
grid point 365,  1 calculation(s)
grid point 366,  1 calculation(s)
grid point 368,  1 calculation(s)
grid point 360,  1 calculation(s)
grid point 373,  1 calculation(s)
grid point 372,  1 calculation(s)
grid point 371,  1 calculation(s)
grid point 370,  1 calculation(s)
grid point 376,  1 calculation(s)
grid point 375,  1 calculation(s)
grid point 374,  1 calculation(s)
grid point 377,  1 calculation(s)
grid point 369,  1 calculation(s)
grid point 382,  1 calculation(s)
grid point 380,  1 calculation(s)
grid point 381,  1 calculation(s)
grid point 379,  1 calculation(s)
grid point 385,  1 calculation(s)
grid point 383,  1 calculation(s)
grid point 384,  1 calculation(s)
grid point 386,  1 calculation(s)
grid point 378,  1 calculation(s)
grid point 391,  1 calculation(s)
grid point 390,  1 calculation(s)
grid point 389,  1 calculation(s)
grid point 388,  1 calculation(s)
grid point 394,  1 calculation(s)
grid point 393,  1 calculation(s)
grid point 392,  1 calculation(s)
grid point 395,  1 calculation(s)
grid point 387,  1 calculation(s)
grid point 400,  1 calculation(s)
grid point 398,  1 calculation(s)
grid point 399,  1 calculation(s)
grid point 397,  1 calculation(s)
grid point 403,  1 calculation(s)
grid point 402,  1 calculation(s)
grid point 401,  1 calculation(s)
grid point 404,  1 calculation(s)
grid point 396,  1 calculation(s)
grid point 409,  1 calculation(s)
grid point 408,  1 calculation(s)
grid point 407,  1 calculation(s)
grid point 406,  1 calculation(s)
grid point 412,  1 calculation(s)
grid point 411,  1 calculation(s)
grid point 410,  1 calculation(s)
grid point 413,  1 calculation(s)
grid point 405,  1 calculation(s)
grid point 417,  1 calculation(s)
grid point 418,  1 calculation(s)
grid point 416,  1 calculation(s)
grid point 415,  1 calculation(s)
grid point 421,  1 calculation(s)
grid point 420,  1 calculation(s)
grid point 419,  1 calculation(s)
grid point 422,  1 calculation(s)
grid point 414,  1 calculation(s)
grid point 427,  1 calculation(s)
grid point 426,  1 calculation(s)
grid point 425,  1 calculation(s)
grid point 424,  1 calculation(s)
grid point 428,  1 calculation(s)
grid point 430,  1 calculation(s)
grid point 429,  1 calculation(s)
grid point 431,  1 calculation(s)
grid point 423,  1 calculation(s)
grid point 436,  1 calculation(s)
grid point 434,  1 calculation(s)
grid point 435,  1 calculation(s)
grid point 433,  1 calculation(s)
grid point 439,  1 calculation(s)
grid point 438,  1 calculation(s)
grid point 437,  1 calculation(s)
grid point 440,  1 calculation(s)
grid point 432,  1 calculation(s)
grid point 444,  1 calculation(s)
grid point 445,  1 calculation(s)
grid point 443,  1 calculation(s)
grid point 442,  1 calculation(s)
grid point 448,  1 calculation(s)
grid point 447,  1 calculation(s)
grid point 446,  1 calculation(s)
grid point 449,  1 calculation(s)
grid point 441,  1 calculation(s)
grid point 454,  1 calculation(s)
grid point 453,  1 calculation(s)
grid point 452,  1 calculation(s)
grid point 451,  1 calculation(s)
grid point 457,  1 calculation(s)
grid point 455,  1 calculation(s)
grid point 456,  1 calculation(s)
grid point 458,  1 calculation(s)
grid point 450,  1 calculation(s)
grid point 463,  1 calculation(s)
grid point 461,  1 calculation(s)
grid point 462,  1 calculation(s)
grid point 460,  1 calculation(s)
grid point 466,  1 calculation(s)
grid point 465,  1 calculation(s)
grid point 464,  1 calculation(s)
grid point 467,  1 calculation(s)
grid point 459,  1 calculation(s)
grid point 472,  1 calculation(s)
grid point 471,  1 calculation(s)
grid point 470,  1 calculation(s)
grid point 469,  1 calculation(s)
grid point 475,  1 calculation(s)
grid point 474,  1 calculation(s)
grid point 473,  1 calculation(s)
grid point 476,  1 calculation(s)
grid point 468,  1 calculation(s)
grid point 481,  1 calculation(s)
grid point 480,  1 calculation(s)
grid point 479,  1 calculation(s)
grid point 478,  1 calculation(s)
grid point 484,  1 calculation(s)
grid point 483,  1 calculation(s)
grid point 482,  1 calculation(s)
grid point 485,  1 calculation(s)
grid point 477,  1 calculation(s)
grid point 489,  1 calculation(s)
grid point 490,  1 calculation(s)
grid point 488,  1 calculation(s)
grid point 487,  1 calculation(s)
grid point 493,  1 calculation(s)
grid point 492,  1 calculation(s)
grid point 491,  1 calculation(s)
grid point 494,  1 calculation(s)
grid point 486,  1 calculation(s)
grid point 499,  1 calculation(s)
grid point 498,  1 calculation(s)
grid point 497,  1 calculation(s)
grid point 496,  1 calculation(s)
grid point 502,  1 calculation(s)
grid point 501,  1 calculation(s)
grid point 500,  1 calculation(s)
grid point 503,  1 calculation(s)
grid point 495,  1 calculation(s)
grid point 508,  1 calculation(s)
grid point 506,  1 calculation(s)
grid point 507,  1 calculation(s)
grid point 505,  1 calculation(s)
grid point 511,  1 calculation(s)
grid point 510,  1 calculation(s)
grid point 509,  1 calculation(s)
grid point 512,  1 calculation(s)
grid point 504,  1 calculation(s)
grid point 517,  1 calculation(s)
grid point 516,  1 calculation(s)
grid point 515,  1 calculation(s)
grid point 514,  1 calculation(s)
grid point 520,  1 calculation(s)
grid point 519,  1 calculation(s)
grid point 518,  1 calculation(s)
grid point 521,  1 calculation(s)
grid point 513,  1 calculation(s)
grid point 526,  1 calculation(s)
grid point 525,  1 calculation(s)
grid point 524,  1 calculation(s)
grid point 523,  1 calculation(s)
grid point 529,  1 calculation(s)
grid point 528,  1 calculation(s)
grid point 527,  1 calculation(s)
grid point 530,  1 calculation(s)
grid point 522,  1 calculation(s)
grid point 535,  1 calculation(s)
grid point 533,  1 calculation(s)
grid point 534,  1 calculation(s)
grid point 532,  1 calculation(s)
grid point 538,  1 calculation(s)
grid point 536,  1 calculation(s)
grid point 537,  1 calculation(s)
grid point 539,  1 calculation(s)
grid point 531,  1 calculation(s)
grid point 544,  1 calculation(s)
grid point 543,  1 calculation(s)
grid point 542,  1 calculation(s)
grid point 541,  1 calculation(s)
grid point 547,  1 calculation(s)
grid point 546,  1 calculation(s)
grid point 545,  1 calculation(s)
grid point 548,  1 calculation(s)
grid point 540,  1 calculation(s)
grid point 552,  1 calculation(s)
grid point 553,  1 calculation(s)
grid point 551,  1 calculation(s)
grid point 550,  1 calculation(s)
grid point 554,  1 calculation(s)
grid point 556,  1 calculation(s)
grid point 555,  1 calculation(s)
grid point 557,  1 calculation(s)
grid point 549,  1 calculation(s)
grid point 560,  1 calculation(s)
