Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
CSOR	?	?	?	S	?	20220201	0210	18.720	GAU	5.00E-03	-1.00E+00	244000000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0210	12.840	GAU	2.50E-03	-1.00E+00	253000000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0210	14.950	GAU	5.00E-03	-1.00E+00	418000000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0210	15.420	GAU	2.50E-03	-1.00E+00	22600000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0210	19.230	GAU	7.50E-03	-1.00E+00	91400000000.0	-1.00E+00
GENF	?	?	?	P	?	20220201	0210	15.870	GAU	2.50E-03	-1.00E+00	73400000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0210	20.170	GAU	7.50E-03	-1.00E+00	73400000.0	-1.00E+00
FNEB	?	?	?	P	?	20220201	0210	21.670	GAU	1.00E-02	-1.00E+00	4150000000.0	-1.00E+00
FNEB	?	?	?	S	?	20220201	0210	30.280	GAU	2.00E-02	-1.00E+00	6540000000.0	-1.00E+00
CARF	?	?	?	P	?	20220201	0210	19.640	GAU	2.50E-03	-1.00E+00	7170000000.0	-1.00E+00
CARF	?	?	?	S	?	20220201	0210	27.030	GAU	5.00E-03	-1.00E+00	15900000000.0	-1.00E+00
VALC	?	?	?	P	?	20220201	0210	18.300	GAU	2.50E-03	-1.00E+00	32300000.0	-1.00E+00
VALC	?	?	?	S	?	20220201	0210	25.760	GAU	1.50E-02	-1.00E+00	32300000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
ARBS	?	?	?	S	?	20220201	0215	56.500	GAU	1.50E-02	-1.00E+00	9250000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0215	49.750	GAU	2.50E-03	-1.00E+00	7050000000.0	-1.00E+00
PAND	?	?	?	S	?	20220201	0215	51.140	GAU	5.00E-03	-1.00E+00	5940000000.0	-1.00E+00
CSOR	?	?	?	P	?	20220201	0215	56.540	GAU	7.50E-03	-1.00E+00	10800000.0	-1.00E+00
CSOR	?	?	?	S	?	20220201	0216	01.850	GAU	1.50E-02	-1.00E+00	7280000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0215	52.980	GAU	1.00E-02	-1.00E+00	14700000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0215	57.520	GAU	7.50E-03	-1.00E+00	12800000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0215	57.240	GAU	2.00E-02	-1.00E+00	3070000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0215	57.680	GAU	2.00E-02	-1.00E+00	2970000000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0216	02.740	GAU	1.00E-02	-1.00E+00	3550000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
ARBS	?	?	?	P	?	20220201	0223	36.670	GAU	2.50E-03	-1.00E+00	25700000.0	-1.00E+00
ARBS	?	?	?	S	?	20220201	0223	38.340	GAU	7.50E-03	-1.00E+00	25700000.0	-1.00E+00
CORG	?	?	?	P	?	20220201	0223	40.360	GAU	1.50E-02	-1.00E+00	9130000.0	-1.00E+00
CORG	?	?	?	S	?	20220201	0223	44.870	GAU	2.00E-02	-1.00E+00	12100000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0223	36.200	GAU	2.50E-03	-1.00E+00	60100000000.0	-1.00E+00
