date,fname,year,month,day,net,station,flag,tt,date_time,weight,amplitude,phase,channel
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,80020.95,2021-01-26T22:13:40.950000,0.3014279305934906,10724486.633300781,P,HHN
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,80323.43,2021-01-26T22:18:43.430000,0.7214048504829407,27605779.296875,P,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,75906.11,2021-01-26T21:05:06.110000,0.5044135451316833,6305724.029541016,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,75944.23,2021-01-26T21:05:44.230000,0.8008621335029602,9070887.268066406,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,76956.03,2021-01-26T21:22:36.030000,0.5650634169578552,10037114.807128906,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,77821.95999999999,2021-01-26T21:37:01.960000,0.6008012890815735,1379372921.875,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,78036.98999999999,2021-01-26T21:40:36.990000,0.6693984866142273,23946174.560546875,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,78041.11,2021-01-26T21:40:41.110000,0.4143824279308319,38006718.75,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,78287.68999999999,2021-01-26T21:44:47.690000,0.6300573945045471,1031582296.875,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,78880.20999999999,2021-01-26T21:54:40.210000,0.595390796661377,22234024.4140625,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,78924.62999999999,2021-01-26T21:55:24.630000,0.3449821472167969,1241261734.375,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79098.25,2021-01-26T21:58:18.250000,0.705762505531311,135997633.7890625,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79228.4,2021-01-26T22:00:28.400000,0.8255123496055603,188046180.6640625,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79788.06,2021-01-26T22:09:48.060000,0.8254351615905762,33374840.33203125,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79876.18999999999,2021-01-26T22:11:16.190000,0.6009329557418823,43188608.88671875,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,80031.51,2021-01-26T22:13:51.510000,0.5267593264579773,20549386.596679688,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,80335.51,2021-01-26T22:18:55.510000,0.6026951670646667,82876853.515625,S,HHN
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,80724.68999999999,2021-01-26T22:25:24.690000,0.3441280424594879,7413918.884277344,S,HHN
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,77622.89,2021-01-26T21:33:42.890000,0.6522590517997742,10918966.125488281,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,77809.29,2021-01-26T21:36:49.290000,0.9272857904434204,597196437.5,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,78274.62,2021-01-26T21:44:34.620000,0.8948791027069092,551162878.90625,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,78868.47,2021-01-26T21:54:28.470000,0.5497127771377563,10331423.095703125,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,78911.48999999999,2021-01-26T21:55:11.490000,0.8868274092674255,761242117.1875,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,79215.98999999999,2021-01-26T22:00:15.990000,0.9093748927116394,62548255.859375,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,79776.23,2021-01-26T22:09:36.230000,0.5614880323410034,17279792.96875,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,79864.23,2021-01-26T22:11:04.230000,0.7877382040023804,23466458.374023438,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,79876.5,2021-01-26T22:11:16.500000,0.49986428022384644,26815607.177734375,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,80020.12999999999,2021-01-26T22:13:40.130000,0.46259504556655884,14831235.3515625,P,HHZ
20210126,ES.E0802.P,2021,1,26,ES,E0802,1,80323.45,2021-01-26T22:18:43.450000,0.9426866769790649,33146578.61328125,P,HHZ
